Wall time;Step;Value
1736589243.2858055;24500;0,000425719
1736589244.260699;24600;0,002184368
1736589245.2195656;24700;0,003325345
1736589246.1814394;24800;0,000684409
1736589247.9620612;24900;0,005980967
1736589249.2352223;25000;0,002074458
1736589250.7866337;25100;0,000926423
1736589251.5132995;25200;0,012554387
1736589252.633315;25300;0,000550664
1736589253.791369;25400;0,00132175
1736589255.447886;25500;0,001492016
1736589256.3396907;25600;0,00103713
1736589257.5898292;25700;0,000934054
1736589259.1452484;25800;0,002796269
1736589259.964995;25900;0,000390971
1736589261.2181334;26000;0,001695127
1736589261.9978466;26100;0,004449674
1736589263.0988472;26200;0,001055524
1736589264.362997;26300;0,012092059
1736589265.240799;26400;0,000302198
1736589266.3007634;26500;0,000736574
1736589267.0734675;26600;0,000491631
1736589268.0493543;26700;0,00060754
1736589269.0212424;26800;0,00301284
1736589269.908049;26900;0,002916283
1736589270.8949502;27000;0,000465397
1736589271.6766572;27100;0,000979164
1736589272.757646;27200;0,000203816
1736589273.9026852;27300;0,000191772
1736589274.871574;27400;0,001245203
1736589277.04855;27500;0,008642244
1736589277.9463673;27600;0,006412742
1736589278.7921405;27700;0,000694854
1736589280.2384567;27800;0,000594143
1736589281.423535;27900;0,000522668
1736589282.5055232;28000;0,000275818
1736589283.1521082;28100;0,001948135
1736589284.1910565;28200;0,005633742
1736589285.487234;28300;0,015018037
1736589286.2048872;28400;0,000457978
1736589286.9375558;28500;0,000284006
1736589287.9684947;28600;0,001368623
1736589288.7672217;28700;0,000256075
1736589289.4298248;28800;0,001336365
1736589290.3206377;28900;0,004774841
1736589291.9180946;29000;0,001186225
1736589293.151217;29100;0,000277144
1736589294.1591322;29200;0,000731383
1736589295.3552232;29300;0,000740233
1736589297.7484028;29400;0,00378115
1736589298.4100053;29500;0,000220659
1736589299.4019067;29600;0,002257599
1736589300.2226548;29700;0,004130092
1736589301.287626;29800;0,000693823
1736589302.416653;29900;0,002278236
1736589303.8079195;30000;0,001319963
1736589305.2252138;30100;0,003261851
1736589306.3162084;30200;0,001540648
1736589307.4327068;30300;0,001220956
1736589308.677848;30400;0,000177165
1736589309.6116896;30500;0,00125823
1736589310.6536398;30600;0,000485261
1736589311.802685;30700;0,001123476
1736589312.8146098;30800;0,002426542
1736589313.486218;30900;0,001143437
1736589314.3259835;31000;0,001988866
1736589315.4790325;31100;0,000641101
1736589316.632085;31200;0,001377225
